name,gender,birthday,actorID,age,height,death,nationality,net_worth,is_alive,id,occupation
patton oswalt,male,1969-01-27,10000,55.0,1.7,,us,10000000,True,0,"['actor', 'film_producer', 'writer', 'voice_actor', 'television_producer', 'screenwriter', 'comedian']"
jeff bennett,male,1962-10-02,10001,61.0,,,us,5000000,True,5,"['singer', 'voice_actor']"
james corden,male,1978-08-22,10002,45.0,1.73,,gb,30000000,True,6,"['actor', 'presenter', 'television_producer', 'screenwriter', 'comedian', 'singer', 'songwriter', 'voice_actor']"
ian wright,male,1963-11-03,10003,60.0,1.75,,gb,20000000,True,8,"['presenter', 'football_player', 'radio_personality']"
tom segura,male,,10004,,,,us,12000000,,11,"['comedian', 'television_producer', 'screenwriter']"
vanessa williams,female,1963-03-18,10005,61.0,1.68,,us,25000000,True,15,"['singer', 'actor', 'model', 'dancer', 'film_producer', 'record_producer', 'voice_actor']"
liv tyler,female,1977-07-01,10006,46.0,1.78,,us,50000000,True,16,"['actor', 'model']"
cary elwes,male,1962-10-26,10007,61.0,1.83,,gb,8000000,True,21,"['actor', 'voice_actor', 'film_producer']"
sofia carson,,,10008,,,,,6000000,,24,
pablo schreiber,male,1978-04-26,10009,45.0,1.96,,us,4000000,True,28,['actor']
jenna fischer,female,1974-03-07,10010,50.0,1.64,,us,16000000,True,30,"['actor', 'television_producer', 'film_director']"
lindsay lohan,female,1986-07-02,10011,37.0,1.65,,us,800000,True,31,"['actor', 'singer', 'entrepreneur', 'model', 'fashion_designer', 'singer-songwriter', 'designer', 'music_artist', 'film_producer', 'television_producer']"
paul rodriguez jr,male,1984-12-31,10012,39.0,1.74,,us,6000000,True,36,"['skateboarder', 'entrepreneur', 'actor']"
"sammy davis, jr.",male,1925-12-08,10013,64.0,1.65,1990-05-16,us,5000000,False,36,"['singer', 'dancer', 'actor', 'musician', 'entertainer']"
"eduardo cojuangco, jr.",male,1935-06-10,10014,88.0,,,ph,1400000000,True,36,['businessperson']
robert ashenoff jr.,male,,10015,,,,,300000,,36,['actor']
"ricardo medina, jr.",male,1977-07-02,10016,46.0,,,us,30000,True,36,
ernie brown jr,,,10017,,,,,150000,,36,
donald trump jr.,male,1977-12-31,10018,46.0,1.85,,us,300000000,True,36,['businessperson']
"robert f. kennedy, jr.",male,1954-01-17,10019,70.0,,,us,50000000,True,36,"['lawyer', 'writer', 'author', 'presenter', 'activist']"
"richard yuengling, jr.",,,10020,,,,,1670000000,,36,
robert coyiuto jr,,,10021,,,,,1700000000,,36,
"nelson frazier, jr.",male,1971-02-14,10022,43.0,2.05,2014-02-18,us,2000000,False,36,"['wrestler', 'actor']"
cuba gooding jr,male,1968-01-02,10023,56.0,1.78,,us,14000000,True,36,"['actor', 'voice_actor', 'film_producer']"
"miguel a. nunez, jr.",male,1964-08-11,10024,59.0,,,us,1000000,True,36,"['actor', 'film_producer', 'television_producer', 'screenwriter']"
"herbert allen, jr.",male,1940,10025,,,,us,2500000000,,36,['businessperson']
robert downey jr,male,1965-04-04,10026,58.0,1.74,,us,300000000,True,36,"['actor', 'film_producer', 'screenwriter', 'singer-songwriter', 'comedian']"
lillo brancato jr,male,1976-03-30,10027,47.0,,,us,10000,True,36,['actor']
"tyrone power, jr.",male,1959-01-22,10028,65.0,,,us,3000000,True,36,['actor']
ross bagdasarian jr,male,1949-10-25,10029,74.0,,,us,15000000,True,36,"['record_producer', 'actor', 'film_producer', 'voice_actor', 'television_producer', 'screenwriter', 'singer']"
galen weston jr,male,1972-12-19,10030,51.0,,,ca,7600000000,True,36,['businessperson']
al unser jr,male,1962-04-19,10031,61.0,,,us,20000000,True,36,['race_car_driver']
cisco rosado jr,,,10032,,,,,3000000,,36,
"henry louis gates, jr.",male,1950-09-16,10033,73.0,,,us,1000000,True,36,"['historian', 'essayist', 'author', 'writer', 'editor', 'literary_critic', 'university_professor', 'documentary_filmmaker']"
palmer williams jr,,,10034,,,,,400000,,36,
desi arnaz jr,male,1953-01-19,10035,71.0,1.8,,us,40000000,True,36,"['musician', 'actor', 'drummer']"
"mike dunleavy, jr.",male,1980-09-15,10036,43.0,2.06,,us,30000000,True,36,['basketball_player']
"ted ginn, jr.",male,1985-04-12,10037,38.0,1.8,,us,13000000,True,36,['american_football_player']
"isiah whitlock, jr.",male,1954-09-13,10038,69.0,1.83,,us,92000000,True,36,['actor']
"gary matthews, jr.",male,1974-08-25,10039,49.0,,,us,25000000,True,36,['baseball_player']
"jim gallagher, jr.",male,1961-03-24,10040,62.0,1.83,,us,10000000,True,36,['golfer']
harold ford jr,male,1970-05-11,10041,53.0,1.8,,us,3000000,True,36,['politician']
tom hanks,male,1956-07-09,10042,67.0,1.83,,us,400000000,True,37,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']"
wyatt nash,,,10043,,,,,2000000,,41,
sara bareilles,female,1979-12-07,10044,44.0,1.65,,us,16000000,True,42,"['musician', 'singer-songwriter', 'pianist', 'actor']"
michael gambon,male,1940-10-19,10045,83.0,1.83,,ie,15000000,True,44,"['actor', 'engineer', 'voice_actor']"
vernon wells,male,1978-12-08,10046,45.0,1.85,,us,75000000,True,45,['baseball_player']
kaitlyn dever,female,1996-12-21,10047,27.0,,,us,3000000,True,46,['actor']
rich froning,,1987-07-21,10048,36.0,1.75,,,5000000,True,47,
susan sarandon,female,1946-10-04,10049,77.0,1.7,,us,60000000,True,48,"['actor', 'voice_actor', 'activist', 'film_producer']"
michael shannon,male,1974-08-07,10050,49.0,1.9,,us,8000000,True,51,"['actor', 'musician']"
vera farmiga,female,1973-08-06,10051,50.0,1.65,,us,10000000,True,52,"['actor', 'film_director']"
jeremy sisto,male,1974-10-06,10052,49.0,1.87,,us,6000000,True,54,"['actor', 'voice_actor', 'film_producer', 'screenwriter']"
clark duke,male,1985-05-05,10053,38.0,1.66,,us,4000000,True,64,"['actor', 'voice_actor']"
ron livingston,male,1967-06-05,10054,56.0,1.79,,us,5000000,True,65,"['actor', 'voice_actor']"
kevin costner,male,1955-01-18,10055,69.0,1.85,,us,250000000,True,67,"['actor', 'film_producer', 'film_director', 'television_producer', 'singer', 'musician', 'businessperson', 'model']"
daniel bruhl,male,1978-06-16,10056,45.0,1.76,,de,4000000,True,69,['actor']
tadanobu asano,male,1973-11-27,10057,50.0,1.79,,jp,10000000,True,70,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']"
octavia spencer,female,1970-05-25,10058,53.0,1.57,,us,14000000,True,72,"['actor', 'film_producer', 'film_director', 'screenwriter']"
tadanobu asano,male,1973-11-27,10059,50.0,1.79,,jp,10000000,True,74,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']"
michelle williams (destiny's child),female,1979-07-23,10060,44.0,1.75,,us,10000000,True,77,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']"
michelle williams,female,1980-09-09,10061,43.0,1.63,,us,30000000,True,77,['actor']
donnie yen,male,1963-07-27,10062,60.0,1.73,,us,40000000,True,78,"['film_director', 'actor', 'film_producer', 'martial_artist', 'screenwriter', 'performer', 'action_director']"
zoe saldana,female,1978-06-19,10063,45.0,1.7,,us,35000000,True,79,"['actor', 'voice_actor', 'film_producer']"
nia long,female,1970-10-30,10064,53.0,1.57,,us,6000000,True,80,"['actor', 'music_video_director', 'dancer', 'voice_actor']"
elizabeth banks,female,1974-02-10,10065,50.0,1.65,,us,50000000,True,82,"['actor', 'film_director', 'film_producer', 'voice_actor']"
samantha mathis,female,1970-05-12,10066,53.0,1.65,,us,4000000,True,83,['actor']
rachel boston,female,1982-05-09,10067,41.0,1.75,,us,4000000,True,86,['actor']
michelle williams (destiny's child),female,1979-07-23,10068,44.0,1.75,,us,10000000,True,87,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']"
michelle williams,female,1980-09-09,10069,43.0,1.63,,us,30000000,True,87,['actor']
joaquim de almeida,male,1957-03-15,10070,67.0,1.72,,us,10000000,True,88,"['actor', 'voice_actor']"
zak bagans,male,1977-04-05,10071,46.0,1.82,,us,30000000,True,89,"['television_producer', 'television_director', 'television_editor', 'writer']"
woody allen,male,1935-12-01,10072,88.0,1.65,,us,140000000,True,99,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']"
viola davis,female,1965-08-11,10073,58.0,1.65,,us,25000000,True,104,"['actor', 'film_producer']"
tessa thompson,female,1983-10-03,10074,40.0,1.62,,us,4000000,True,106,['actor']
mark hamill,male,1951-09-25,10075,72.0,1.75,,us,18000000,True,109,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']"
tadanobu asano,male,1973-11-27,10076,50.0,1.79,,jp,10000000,True,111,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']"
kate micucci,female,1980-03-31,10077,43.0,1.57,,us,500000,True,114,"['actor', 'comedian', 'composer']"
rebel wilson,female,1986-02-03,10078,38.0,1.59,,au,22000000,True,116,"['actor', 'stand-up_comedian', 'screenwriter', 'spokesperson', 'voice_actor', 'entrepreneur', 'television_producer', 'comedian']"
michelle monaghan,female,1976-03-23,10079,47.0,1.7,,us,16000000,True,117,"['actor', 'fashion_model', 'film_producer']"
karen gillan,female,1987-11-28,10080,36.0,1.8,,gb,2000000,True,118,"['actor', 'model']"
