name,gender,birthday,occupation,age,height,death,nationality,net_worth,is_alive
patton oswalt,male,1969-01-27,"['actor', 'film_producer', 'writer', 'voice_actor', 'television_producer', 'screenwriter', 'comedian']",55,1.7,,us,10000000,True
carlos alazraqui,male,1962-07-20,"['actor', 'voice_actor', 'singer', 'comedian', 'impressionist', 'screenwriter', 'film_producer']",61,1.7,,us,4000000,True
jason marsden,male,1975-01-03,"['actor', 'television_director', 'voice_actor', 'film_producer', 'television_producer', 'film_director', 'screenwriter', 'film_editor']",49,1.6,,us,700000,True
jeff bennett,male,1962-10-02,"['singer', 'voice_actor']",61,,,us,5000000,True
james corden,male,1978-08-22,"['actor', 'presenter', 'television_producer', 'screenwriter', 'comedian', 'singer', 'songwriter', 'voice_actor']",45,1.73,,gb,30000000,True
louis garrel,male,1983-06-14,"['actor', 'film_director', 'screenwriter']",40,1.83,,fr,10000000,True
ian wright,male,1963-11-03,"['presenter', 'football_player', 'radio_personality']",60,1.75,,gb,20000000,True
tom segura,male,,"['comedian', 'television_producer', 'screenwriter']",,,,us,12000000,
christian slater,male,1969-08-18,"['actor', 'film_producer', 'film_director', 'television_director']",54,1.74,,us,30000000,True
vanessa williams,female,1963-03-18,"['singer', 'actor', 'model', 'dancer', 'film_producer', 'record_producer', 'voice_actor']",61,1.68,,us,25000000,True
brad dourif,male,1950-03-18,"['actor', 'voice_actor', 'acting_teacher']",74,1.75,,us,6000000,True
liv tyler,female,1977-07-01,"['actor', 'model']",46,1.78,,us,50000000,True
nicolas cage,male,1964-01-07,"['actor', 'film_producer', 'voice_actor', 'television_producer']",60,1.83,,us,25000000,True
bruce gray,male,1936-09-07,['actor'],87,,,ca,2000000,True
cary elwes,male,1962-10-26,"['actor', 'voice_actor', 'film_producer']",61,1.83,,gb,8000000,True
sabrina carpenter,female,1999-05-11,['actor'],24,,,us,4000000,True
sofia carson,,,,,,,,6000000,
rosamund pike,female,1979-01-27,['actor'],45,1.74,,gb,9000000,True
dylan o'brien,male,1991-08-26,"['actor', 'musician']",32,1.8,,us,7000000,True
kaya scodelario,female,1992-03-13,"['actor', 'model']",32,1.68,,gb,1000000,True
