name,gender,birthday,actorID,id,occupation,death,nationality,net_worth,is_alive,age,height
patton oswalt,male,1969-01-27,10000,0,"['actor', 'film_producer', 'writer', 'voice_actor', 'television_producer', 'screenwriter', 'comedian']",,us,10000000,True,55.0,1.7
jeff bennett,male,1962-10-02,10001,5,"['singer', 'voice_actor']",,us,5000000,True,61.0,
james corden,male,1978-08-22,10002,6,"['actor', 'presenter', 'television_producer', 'screenwriter', 'comedian', 'singer', 'songwriter', 'voice_actor']",,gb,30000000,True,45.0,1.73
ian wright,male,1963-11-03,10003,8,"['presenter', 'football_player', 'radio_personality']",,gb,20000000,True,60.0,1.75
tom segura,male,,10004,11,"['comedian', 'television_producer', 'screenwriter']",,us,12000000,,,
vanessa williams,female,1963-03-18,10005,15,"['singer', 'actor', 'model', 'dancer', 'film_producer', 'record_producer', 'voice_actor']",,us,25000000,True,61.0,1.68
liv tyler,female,1977-07-01,10006,16,"['actor', 'model']",,us,50000000,True,46.0,1.78
cary elwes,male,1962-10-26,10007,21,"['actor', 'voice_actor', 'film_producer']",,gb,8000000,True,61.0,1.83
sofia carson,,,10008,24,,,,6000000,,,
pablo schreiber,male,1978-04-26,10009,28,['actor'],,us,4000000,True,45.0,1.96
jenna fischer,female,1974-03-07,10010,30,"['actor', 'television_producer', 'film_director']",,us,16000000,True,50.0,1.64
lindsay lohan,female,1986-07-02,10011,31,"['actor', 'singer', 'entrepreneur', 'model', 'fashion_designer', 'singer-songwriter', 'designer', 'music_artist', 'film_producer', 'television_producer']",,us,800000,True,37.0,1.65
paul rodriguez jr,male,1984-12-31,10012,36,"['skateboarder', 'entrepreneur', 'actor']",,us,6000000,True,39.0,1.74
"sammy davis, jr.",male,1925-12-08,10013,36,"['singer', 'dancer', 'actor', 'musician', 'entertainer']",1990-05-16,us,5000000,False,64.0,1.65
"eduardo cojuangco, jr.",male,1935-06-10,10014,36,['businessperson'],,ph,1400000000,True,88.0,
robert ashenoff jr.,male,,10015,36,['actor'],,,300000,,,
"ricardo medina, jr.",male,1977-07-02,10016,36,,,us,30000,True,46.0,
ernie brown jr,,,10017,36,,,,150000,,,
donald trump jr.,male,1977-12-31,10018,36,['businessperson'],,us,300000000,True,46.0,1.85
"robert f. kennedy, jr.",male,1954-01-17,10019,36,"['lawyer', 'writer', 'author', 'presenter', 'activist']",,us,50000000,True,70.0,
"richard yuengling, jr.",,,10020,36,,,,1670000000,,,
robert coyiuto jr,,,10021,36,,,,1700000000,,,
"nelson frazier, jr.",male,1971-02-14,10022,36,"['wrestler', 'actor']",2014-02-18,us,2000000,False,43.0,2.05
cuba gooding jr,male,1968-01-02,10023,36,"['actor', 'voice_actor', 'film_producer']",,us,14000000,True,56.0,1.78
"miguel a. nunez, jr.",male,1964-08-11,10024,36,"['actor', 'film_producer', 'television_producer', 'screenwriter']",,us,1000000,True,59.0,
"herbert allen, jr.",male,1940,10025,36,['businessperson'],,us,2500000000,,,
robert downey jr,male,1965-04-04,10026,36,"['actor', 'film_producer', 'screenwriter', 'singer-songwriter', 'comedian']",,us,300000000,True,58.0,1.74
lillo brancato jr,male,1976-03-30,10027,36,['actor'],,us,10000,True,47.0,
"tyrone power, jr.",male,1959-01-22,10028,36,['actor'],,us,3000000,True,65.0,
ross bagdasarian jr,male,1949-10-25,10029,36,"['record_producer', 'actor', 'film_producer', 'voice_actor', 'television_producer', 'screenwriter', 'singer']",,us,15000000,True,74.0,
galen weston jr,male,1972-12-19,10030,36,['businessperson'],,ca,7600000000,True,51.0,
al unser jr,male,1962-04-19,10031,36,['race_car_driver'],,us,20000000,True,61.0,
cisco rosado jr,,,10032,36,,,,3000000,,,
"henry louis gates, jr.",male,1950-09-16,10033,36,"['historian', 'essayist', 'author', 'writer', 'editor', 'literary_critic', 'university_professor', 'documentary_filmmaker']",,us,1000000,True,73.0,
palmer williams jr,,,10034,36,,,,400000,,,
desi arnaz jr,male,1953-01-19,10035,36,"['musician', 'actor', 'drummer']",,us,40000000,True,71.0,1.8
"mike dunleavy, jr.",male,1980-09-15,10036,36,['basketball_player'],,us,30000000,True,43.0,2.06
"ted ginn, jr.",male,1985-04-12,10037,36,['american_football_player'],,us,13000000,True,38.0,1.8
"isiah whitlock, jr.",male,1954-09-13,10038,36,['actor'],,us,92000000,True,69.0,1.83
"gary matthews, jr.",male,1974-08-25,10039,36,['baseball_player'],,us,25000000,True,49.0,
"jim gallagher, jr.",male,1961-03-24,10040,36,['golfer'],,us,10000000,True,62.0,1.83
