name,gender,birthday,actorID,id,occupation
ian wright,male,1963-11-03,10003,8,actor
tom segura,male,,10004,11,actor
sofia carson,,,10008,24,actor
wyatt nash,,,10043,41,actor
vernon wells,male,1978-12-08,10046,45,actor
rich froning,,1987-07-21,10048,47,actor
zak bagans,male,1977-04-05,10071,89,actor
vernon forrest,,,10094,167,actor
vernon davis,male,1984-01-31,10095,167,actor
vernon reid,male,1958-08-22,10097,167,actor
vernon macklin,male,1986-09-25,10098,167,actor
ted vernon,male,,10099,167,actor
don cannon,,,10100,167,actor
shannon bex,female,1980-03-22,10101,167,actor
phillip buchanon,male,1980-09-19,10105,167,actor
terry gannon,male,1963-11-01,10108,167,actor
ed o'bannon,male,1972-08-14,10110,167,actor
mike vernon,,,10111,167,actor
nonito donaire,male,1982-11-16,10112,167,actor
scott shannon,male,1947,10113,167,actor
liz mcclarnon,female,1981-04-10,10114,167,actor
cynthia lennon,female,1939-09-10,10115,167,actor
vernon maxwell,male,1965-09-12,10116,167,actor
frank hannon,male,1966-10-03,10117,167,actor
shannon larkin,male,1967-04-24,10119,167,actor
justin vernon (bon iver),male,1981-04-30,10120,167,actor
karissa shannon,,,10121,167,actor
pierre-luc gagnon,male,1980-05-02,10122,167,actor
timothee chalamet,,,10131,184,actor
"martin luther king, jr.",male,1929-01-15,10139,198,actor
will smith (nfl),male,1981-07-04,10161,242,actor
jaeden lieberher,,,10182,273,actor
taron egerton,,,10194,286,actor
kenny aronoff,male,1953-03-07,10227,340,actor
mckenna grace,,,10262,394,actor
freddie mercury,male,1946-09-05,10286,431,actor
will smith (nfl),male,1981-07-04,10328,488,actor
scott asheton,male,1949-08-16,10339,503,actor
joe alwyn,,,10343,509,actor
will smith (nfl),male,1981-07-04,10373,554,actor
steve mcqueen,male,1969-10-09,10469,692,actor
stefanie scott,female,,10481,709,actor
taron egerton,,,10487,718,actor
will smith (nfl),male,1981-07-04,10557,821,actor
berry gordy,male,1929-11-28,10561,826,actor
david crowder,,,10562,827,actor
maggie smith,female,,10568,838,actor
noah schnapp,,,10572,842,actor
corey hawkins,,,10643,933,actor
thomas bangalter,male,1975-01-03,10666,966,actor
nolan bushnell,male,1943-02-05,10681,993,actor
yvon chouinard,male,1938-11-09,10708,1028,actor
maggie smith,female,,10913,1275,actor
will smith (nfl),male,1981-07-04,10931,1299,actor
ryan giggs,male,1973-11-29,11116,1505,actor
maggie smith,female,,11143,1537,actor
taron egerton,,,11164,1564,actor
tiger woods,male,1975-12-30,11274,1693,actor
mike whiteside,,,11288,1706,actor
steve harris,male,1956-03-12,11351,1788,actor
imelda staunton,,,11367,1809,actor
maggie smith,female,,11463,1913,actor
will smith (nfl),male,1981-07-04,11503,1961,actor
will smith (nfl),male,1981-07-04,11505,1962,actor
rita marley,female,1946-07-25,11519,1979,actor
taron egerton,,,11593,2069,actor
will smith (nfl),male,1981-07-04,11679,2171,actor
will smith (nfl),male,1981-07-04,11687,2180,actor
will smith (nfl),male,1981-07-04,11716,2213,actor
will smith (nfl),male,1981-07-04,11750,2249,actor
imelda staunton,,,11807,2315,actor
will smith (nfl),male,1981-07-04,11818,2330,actor
milo aukerman,,,11834,2349,actor
valentino rossi,male,1979-02-16,11838,2353,actor
tony revolori,,,11888,2410,actor
neal schon,male,1954-02-27,11890,2412,actor
will smith (nfl),male,1981-07-04,12094,2655,actor
roger mayweather,male,1961-04-24,12121,2691,actor
will smith (nfl),male,1981-07-04,12136,2707,actor
mark webber,male,1976-08-27,12200,2775,actor
rhett reese,male,,12280,2917,actor
mckenna grace,,,12453,3173,actor
vernon wells,male,1978-12-08,12499,3250,actor
vanessa kirby,,,12564,3348,actor
sean giambrone,,,12571,3368,actor
victor webster,male,1981-01-10,12572,3369,actor
anna deavere smith,,,12594,3419,actor
stassi schroeder,,,12629,3519,actor
jeff schroeder,male,1974-02-04,12630,3519,actor
john mcafee,male,1945-09-18,12631,3524,actor
bjorn borg,male,1956-06-06,12681,3636,actor
taron egerton,,,12686,3645,actor
iliza shlesinger,female,1983-02-22,12691,3652,actor
timothee chalamet,,,12693,3660,actor
william friedkin,male,1935-08-29,12709,3697,actor
samara weaving,,,12720,3714,actor
richard kinder,male,1944-10-19,12725,3722,actor
kyler murray,,,12761,3793,actor
kyle jacobs,male,1973,12764,3793,actor
kyle shanahan,,,12766,3793,actor
kyle long,,,12767,3793,actor
kyle singler,male,1988-05-04,12769,3793,actor
chris kyle,male,1974-04-08,12770,3793,actor
jeremy kyle,male,1965-07-07,12772,3793,actor
kyle beckerman,male,1982-04-23,12773,3793,actor
kyle kuzma,,,12774,3793,actor
kyle orton,male,1982-11-14,12775,3793,actor
kyle arrington,male,1986-08-12,12776,3793,actor
kyle busch,male,1985-05-02,12777,3793,actor
kyle lohse,male,1978-10-04,12780,3793,actor
kyle larson,,,12781,3793,actor
taya kyle,,,12784,3793,actor
kyle,male,1993-05-18,12785,3793,actor
kyle lowry,,,12789,3793,actor
kyle korver,,,12790,3793,actor
nick price,male,1957-01-28,12806,3820,actor
noam chomsky,male,1928-12-07,12821,3852,actor
bert kreischer,male,1973-11-03,12825,3860,actor
stephen curry,male,1988-03-14,12833,3881,actor
jane goodall,female,1934-04-03,12836,3886,actor
