name,gender,birthday,occupation,age,height,death,nationality,net_worth,is_alive
bobcat goldthwait,male,1962-05-26,"['film_director', 'actor', 'screenwriter', 'comedian', 'television_director', 'film_producer', 'voice_actor']",61,1.7,,us,1200000,True
dave stewart,male,1952-09-09,"['singer', 'record_producer', 'musician', 'film_score_composer', 'songwriter', 'film_producer', 'screenwriter', 'film_director', 'actor']",71,,,gb,45000000,True
dave stewart,male,1957-02-19,['baseball_player'],67,,,us,10000000,True
barry levinson,male,1942-04-06,"['film_director', 'film_producer', 'actor', 'screenwriter', 'television_producer', 'television_director']",81,1.8,,us,150000000,True
paul rodriguez jr,male,1984-12-31,"['skateboarder', 'entrepreneur', 'actor']",39,1.74,,us,6000000,True
"sammy davis, jr.",male,1925-12-08,"['singer', 'dancer', 'actor', 'musician', 'entertainer']",64,1.65,1990-05-16,us,5000000,False
"eduardo cojuangco, jr.",male,1935-06-10,['businessperson'],88,,,ph,1400000000,True
robert ashenoff jr.,male,,['actor'],,,,,300000,
"ricardo medina, jr.",male,1977-07-02,,46,,,us,30000,True
ernie brown jr,,,,,,,,150000,
donald trump jr.,male,1977-12-31,['businessperson'],46,1.85,,us,300000000,True
"robert f. kennedy, jr.",male,1954-01-17,"['lawyer', 'writer', 'author', 'presenter', 'activist']",70,,,us,50000000,True
"richard yuengling, jr.",,,,,,,,1670000000,
robert coyiuto jr,,,,,,,,1700000000,
"nelson frazier, jr.",male,1971-02-14,"['wrestler', 'actor']",43,2.05,2014-02-18,us,2000000,False
cuba gooding jr,male,1968-01-02,"['actor', 'voice_actor', 'film_producer']",56,1.78,,us,14000000,True
"miguel a. nunez, jr.",male,1964-08-11,"['actor', 'film_producer', 'television_producer', 'screenwriter']",59,,,us,1000000,True
"herbert allen, jr.",male,1940,['businessperson'],,,,us,2500000000,
robert downey jr,male,1965-04-04,"['actor', 'film_producer', 'screenwriter', 'singer-songwriter', 'comedian']",58,1.74,,us,300000000,True
lillo brancato jr,male,1976-03-30,['actor'],47,,,us,10000,True
"tyrone power, jr.",male,1959-01-22,['actor'],65,,,us,3000000,True
ross bagdasarian jr,male,1949-10-25,"['record_producer', 'actor', 'film_producer', 'voice_actor', 'television_producer', 'screenwriter', 'singer']",74,,,us,15000000,True
galen weston jr,male,1972-12-19,['businessperson'],51,,,ca,7600000000,True
al unser jr,male,1962-04-19,['race_car_driver'],61,,,us,20000000,True
cisco rosado jr,,,,,,,,3000000,
"henry louis gates, jr.",male,1950-09-16,"['historian', 'essayist', 'author', 'writer', 'editor', 'literary_critic', 'university_professor', 'documentary_filmmaker']",73,,,us,1000000,True
palmer williams jr,,,,,,,,400000,
desi arnaz jr,male,1953-01-19,"['musician', 'actor', 'drummer']",71,1.8,,us,40000000,True
"mike dunleavy, jr.",male,1980-09-15,['basketball_player'],43,2.06,,us,30000000,True
"ted ginn, jr.",male,1985-04-12,['american_football_player'],38,1.8,,us,13000000,True
"isiah whitlock, jr.",male,1954-09-13,['actor'],69,1.83,,us,92000000,True
"gary matthews, jr.",male,1974-08-25,['baseball_player'],49,,,us,25000000,True
"jim gallagher, jr.",male,1961-03-24,['golfer'],62,1.83,,us,10000000,True
harold ford jr,male,1970-05-11,['politician'],53,1.8,,us,3000000,True
steven spielberg,male,1946-12-18,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",77,1.72,,us,7000000000,True
cameron crowe,male,1957-07-13,"['film_director', 'screenwriter', 'film_producer', 'writer', 'editor', 'actor', 'journalist']",66,1.83,,us,45000000,True
john carroll lynch,male,1963-08-01,['actor'],60,1.91,,us,3000000,True
