name,gender,birthday,directorID,id,occupation,death,nationality,net_worth,is_alive,age,height
bobcat goldthwait,male,1962-05-26,10000,0,"['film_director', 'actor', 'screenwriter', 'comedian', 'television_director', 'film_producer', 'voice_actor']",,us,1200000,True,61.0,1.7
dave stewart,male,1952-09-09,10001,8,"['singer', 'record_producer', 'musician', 'film_score_composer', 'songwriter', 'film_producer', 'screenwriter', 'film_director', 'actor']",,gb,45000000,True,71.0,
dave stewart,male,1957-02-19,10002,8,['baseball_player'],,us,10000000,True,67.0,
barry levinson,male,1942-04-06,10003,33,"['film_director', 'film_producer', 'actor', 'screenwriter', 'television_producer', 'television_director']",,us,150000000,True,81.0,1.8
paul rodriguez jr,male,1984-12-31,10004,36,"['skateboarder', 'entrepreneur', 'actor']",,us,6000000,True,39.0,1.74
"sammy davis, jr.",male,1925-12-08,10005,36,"['singer', 'dancer', 'actor', 'musician', 'entertainer']",1990-05-16,us,5000000,False,64.0,1.65
"eduardo cojuangco, jr.",male,1935-06-10,10006,36,['businessperson'],,ph,1400000000,True,88.0,
robert ashenoff jr.,male,,10007,36,['actor'],,,300000,,,
"ricardo medina, jr.",male,1977-07-02,10008,36,,,us,30000,True,46.0,
ernie brown jr,,,10009,36,,,,150000,,,
donald trump jr.,male,1977-12-31,10010,36,['businessperson'],,us,300000000,True,46.0,1.85
"robert f. kennedy, jr.",male,1954-01-17,10011,36,"['lawyer', 'writer', 'author', 'presenter', 'activist']",,us,50000000,True,70.0,
"richard yuengling, jr.",,,10012,36,,,,1670000000,,,
robert coyiuto jr,,,10013,36,,,,1700000000,,,
"nelson frazier, jr.",male,1971-02-14,10014,36,"['wrestler', 'actor']",2014-02-18,us,2000000,False,43.0,2.05
cuba gooding jr,male,1968-01-02,10015,36,"['actor', 'voice_actor', 'film_producer']",,us,14000000,True,56.0,1.78
"miguel a. nunez, jr.",male,1964-08-11,10016,36,"['actor', 'film_producer', 'television_producer', 'screenwriter']",,us,1000000,True,59.0,
"herbert allen, jr.",male,1940,10017,36,['businessperson'],,us,2500000000,,,
