Title,Year,Genres,Runtime,Rating,Director,Writers,Cast,Row Number
89,2017,Uncategorized,91,8.1,Dave Stewart,Lee Dixon,Ian Wright,8
Tom Segura: Disgraceful,2018,Comedy|Documentary,0,7.5,Jay Karas,Tom Segura,Tom Segura,11
Adventures in Babysitting,2016,Adventure|Comedy|Family,105,6.1,John Schultz,Tiffany Paulsen,Nikki Hahn|Sabrina Carpenter|Sofia Carson,24
Petals on the Wind,2014,Drama|Horror|Romance|Thriller,85,6.3,Karen Moncrieff,Virginia C. Andrews,Heather Graham|Rose McIver|Wyatt Nash,41
Trouble Is My Business,2018,Action|Adventure|Crime|Mystery|Thriller,116,6.1,Tom Konkle,Tom Konkle,Brittney Powell|Tom Konkle|Vernon Wells,45
Froning: The Fittest Man in History,2015,Documentary,99,6.7,Heber Cannon,Heber Cannon,Dan Bailey|Rich Froning,47
Lucky,2017,Comedy|Drama,88,7.4,John Carroll Lynch,Logan Sparks,David Lynch|Harry Dean Stanton|Ron Livingston,65
Molly's Game,2017,Biography|Crime|Drama,140,7.5,Aaron Sorkin,Aaron Sorkin,Idris Elba|Jessica Chastain|Kevin Costner,67
Demon House,2018,Documentary|Horror,111,6.1,Zak Bagans,Zak Bagans,Adam Ahlbrandt|Matthew Mourgides|Zak Bagans,89
Annihilation,2018,Adventure|Drama|Fantasy|Horror|Mystery,115,7.0,Alex Garland,Alex Garland,Jennifer Jason Leigh|Natalie Portman|Tessa Thompson,106
Star Wars: The Last Jedi,2017,Action|Adventure|Fantasy|Sci-Fi,152,7.4,Rian Johnson,Rian Johnson,Daisy Ridley|John Boyega|Mark Hamill,109
In This Corner of the World,2016,Animation|Drama|Family|Fantasy|History,129,7.9,Sunao Katabuchi,Sunao Katabuchi,Kira Buckland|Non,167
The Death of Stalin,2017,Comedy|History,107,7.2,Armando Iannucci,Armando Iannucci,Simon Russell Beale|Steve Buscemi,170
Chris Rock: Tamborine,2018,Comedy,64,6.5,Bo Burnham,Chris Rock,Chris Rock,180
Call Me by Your Name,2017,Drama|Romance,132,8.0,Luca Guadagnino,James Ivory,Armie Hammer|Michael Stuhlbarg|Timothée Chalamet,184
I Am Not Your Negro,2016,Documentary,93,7.8,Raoul Peck,James Baldwin,James Baldwin|Martin Luther King|Samuel L. Jackson,198
God's Own Country,2017,Drama|Romance,104,7.7,Francis Lee,Francis Lee,Alec Secareanu|Gemma Jones|Josh O'Connor,228
"Roman J. Israel, Esq.",2017,Crime|Drama,122,6.4,Dan Gilroy,Dan Gilroy,Carmen Ejogo|Colin Farrell|Denzel Washington,231
Bright,2017,Action|Crime|Fantasy|Thriller,117,6.4,David Ayer,Max Landis,Joel Edgerton|Noomi Rapace|Will Smith,242
Rebel in the Rye,2017,Biography|Drama|Romance|War,106,6.6,Danny Strong,Danny Strong,Kevin Spacey|Nicholas Hoult|Victor Garber,264
Brad's Status,2017,Comedy|Drama|Music,102,6.5,Mike White,Mike White,Austin Abrams|Ben Stiller|Jenna Fischer,270
It,2017,Drama|Horror|Thriller,135,7.5,Andy Muschietti,Chase Palmer,Bill Skarsgård|Jaeden Lieberher,273
Kingsman: The Golden Circle,2017,Action|Adventure|Comedy,141,6.8,Matthew Vaughn,Jane Goldman,Colin Firth|Taron Egerton,286
A Family Man,2016,Drama,108,6.5,Mark Williams,Bill Dubuque,Alison Brie|Gerard Butler|Willem Dafoe,326
Hired Gun,2016,Documentary|Music,98,7.2,Fran Strine,Tim Calandrello,Corey Britz|Kara Britz|Kenny Aronoff,340
Mindhorn,2016,Comedy,89,6.3,Sean Foley,Julian Barratt,Julian Barratt|Simon Farnaby,361
Gifted,2017,Drama,101,7.6,Marc Webb,Tom Flynn,Chris Evans|Lindsay Duncan|Mckenna Grace,394
Gods and Generals,2003,Biography|Drama|History|War,219,6.3,Ron Maxwell,Jeff Shaara,Jeff Daniels|Robert Duvall|Stephen Lang,415
Queen Rock Montreal & Live Aid,2007,Action|Music,138,8.6,Saul Swimmer,John Deacon,Freddie Mercury,431
Get Out,2017,Action|Horror|Mystery|Thriller,104,7.7,Jordan Peele,Jordan Peele,Allison Williams|Bradley Whitford|Daniel Kaluuya,447
Patriots Day,2016,Action|Crime|Drama|History|Thriller,133,7.4,Peter Berg,Peter Berg,Mark Wahlberg|Michelle Monaghan,475
20th Century Women,2016,Action|Comedy|Drama,119,7.4,Mike Mills,Mike Mills,Annette Bening|Elle Fanning|Greta Gerwig,478
Miss Sloane,2016,Drama|Thriller,132,7.5,John Madden,Jonathan Perera,Gugu Mbatha-Raw|Jessica Chastain|Mark Strong,482
Collateral Beauty,2016,Action|Drama|Romance,97,6.8,David Frankel,Allan Loeb,Edward Norton|Kate Winslet|Will Smith,488
Gimme Danger,2016,Action|Documentary|Music,108,7.2,Jim Jarmusch,Jim Jarmusch,Iggy Pop|Ron Asheton|Scott Asheton,503
Billy Lynn's Long Halftime Walk,2016,Action|Drama|War,113,6.3,Ang Lee,Ben Fountain,Arturo Castro|Garrett Hedlund|Joe Alwyn,509
American Pastoral,2016,Crime|Drama,108,6.1,Ewan McGregor,Philip Roth,Dakota Fanning|Ewan McGregor|Jennifer Connelly,511
Trolls,2016,Action|Adventure|Animation|Comedy|Family,92,6.5,Mike Mitchell,Jonathan Aibel,Anna Kendrick|Justin Timberlake,514
Deepwater Horizon,2016,Action|Drama|Thriller,107,7.2,Peter Berg,Matthew Michael Carnahan,Kurt Russell|Mark Wahlberg,529
The Birth of a Nation,2016,Action|Biography|Drama|History,120,6.4,Nate Parker,Nate Parker,Armie Hammer|Nate Parker,532
In a Valley of Violence,2016,Action|Crime|Drama|Thriller|Western,104,6.0,Ti West,Ti West,Ethan Hawke|John Travolta|Taissa Farmiga,538
Suicide Squad,2016,Action|Adventure|Fantasy|Sci-Fi,123,6.1,David Ayer,David Ayer,Jared Leto|Margot Robbie|Will Smith,554
Mr. Church,2016,Comedy|Drama,104,7.6,Bruce Beresford,Susan McMartin,Britt Robertson|Eddie Murphy|Natascha McElhone,581
Neverland,2011,Action|Adventure|Fantasy,180,6.5,Keira Knightley,,Anna Friel,607
Big Top Scooby-Doo!,2012,Action|Adventure|Animation|Comedy|Family,80,7.0,Ben Jones,Doug Langdale,Frank Welker|Grey Griffin|Mindy Cohn,615
Free State of Jones,2016,Action|Biography|Drama|History|War,139,6.9,Gary Ross,Gary Ross,Gugu Mbatha-Raw|Matthew McConaughey,616
Captain America: Civil War,2016,Action|Adventure|Sci-Fi,147,7.8,Anthony Russo,Christopher Markus,Chris Evans|Robert Downey Jr.,633
The Man Who Knew Infinity,2015,Action|Biography|Drama,108,7.2,Matt Brown,Matt Brown,Dev Patel|Jeremy Irons,646
Barney Thomson,2015,Action|Comedy|Crime,96,6.3,Robert Carlyle,Richard Cowan,Emma Thompson|Robert Carlyle,675
Steve McQueen: The Man & Le Mans,2015,Action|Documentary,102,6.8,Gabriel Clarke,Gabriel Clarke,Roman Polanski|Sharon Tate|Steve McQueen,692
Insidious: Chapter 3,2015,Action|Fantasy|Horror|Mystery|Thriller,97,6.1,Leigh Whannell,Leigh Whannell,Angus Sampson|Dermot Mulroney|Stefanie Scott,709
