height,is_alive,nationality,net_worth,birthday,occupation,gender,name,age,death
1.7,True,us,10000000,1969-01-27,"['actor', 'film_producer', 'writer', 'voice_actor', 'television_producer', 'screenwriter', 'comedian']",male,patton oswalt,55,
1.7,True,us,4000000,1962-07-20,"['actor', 'voice_actor', 'singer', 'comedian', 'impressionist', 'screenwriter', 'film_producer']",male,carlos alazraqui,61,
1.6,True,us,700000,1975-01-03,"['actor', 'television_director', 'voice_actor', 'film_producer', 'television_producer', 'film_director', 'screenwriter', 'film_editor']",male,jason marsden,49,
,True,us,5000000,1962-10-02,"['singer', 'voice_actor']",male,jeff bennett,61,
1.73,True,gb,30000000,1978-08-22,"['actor', 'presenter', 'television_producer', 'screenwriter', 'comedian', 'singer', 'songwriter', 'voice_actor']",male,james corden,45,
1.83,True,fr,10000000,1983-06-14,"['actor', 'film_director', 'screenwriter']",male,louis garrel,40,
1.75,True,gb,20000000,1963-11-03,"['presenter', 'football_player', 'radio_personality']",male,ian wright,60,
,,us,12000000,,"['comedian', 'television_producer', 'screenwriter']",male,tom segura,,
1.74,True,us,30000000,1969-08-18,"['actor', 'film_producer', 'film_director', 'television_director']",male,christian slater,54,
1.68,True,us,25000000,1963-03-18,"['singer', 'actor', 'model', 'dancer', 'film_producer', 'record_producer', 'voice_actor']",female,vanessa williams,61,
1.75,True,us,6000000,1950-03-18,"['actor', 'voice_actor', 'acting_teacher']",male,brad dourif,74,
1.78,True,us,50000000,1977-07-01,"['actor', 'model']",female,liv tyler,46,
1.83,True,us,25000000,1964-01-07,"['actor', 'film_producer', 'voice_actor', 'television_producer']",male,nicolas cage,60,
,True,ca,2000000,1936-09-07,['actor'],male,bruce gray,87,
1.83,True,gb,8000000,1962-10-26,"['actor', 'voice_actor', 'film_producer']",male,cary elwes,61,
,True,us,4000000,1999-05-11,['actor'],female,sabrina carpenter,24,
,,,6000000,,,,sofia carson,,
1.74,True,gb,9000000,1979-01-27,['actor'],female,rosamund pike,45,
1.8,True,us,7000000,1991-08-26,"['actor', 'musician']",male,dylan o'brien,32,
1.68,True,gb,1000000,1992-03-13,"['actor', 'model']",female,kaya scodelario,32,
1.88,True,gb,40000000,1969-11-13,"['actor', 'film_producer']",male,gerard butler,54,
1.96,True,us,4000000,1978-04-26,['actor'],male,pablo schreiber,45,
1.68,True,us,8000000,1978-05-15,"['actor', 'film_producer']",male,david krumholtz,45,
1.64,True,us,16000000,1974-03-07,"['actor', 'television_producer', 'film_director']",female,jenna fischer,50,
1.7,True,us,60000000,1958-11-22,"['actor', 'writer', 'author', 'voice_actor']",female,jamie lee curtis,65,
1.65,True,us,800000,1986-07-02,"['actor', 'singer', 'entrepreneur', 'model', 'fashion_designer', 'singer-songwriter', 'designer', 'music_artist', 'film_producer', 'television_producer']",female,lindsay lohan,37,
1.7,True,us,120000000,1940-04-25,"['actor', 'film_director', 'film_producer', 'theatre_director']",male,al pacino,83,
1.68,True,us,2000000,1950-06-08,['actor'],female,kathy baker,73,
1.74,True,us,6000000,1984-12-31,"['skateboarder', 'entrepreneur', 'actor']",male,paul rodriguez jr,39,
1.65,False,us,5000000,1925-12-08,"['singer', 'dancer', 'actor', 'musician', 'entertainer']",male,"sammy davis, jr.",64,1990-05-16
,True,ph,1400000000,1935-06-10,['businessperson'],male,"eduardo cojuangco, jr.",88,
,,,300000,,['actor'],male,robert ashenoff jr.,,
,True,us,30000,1977-07-02,,male,"ricardo medina, jr.",46,
,,,150000,,,,ernie brown jr,,
1.85,True,us,300000000,1977-12-31,['businessperson'],male,donald trump jr.,46,
